record_id,date,day_of_week,day_part,sales_usd,labor_hours,transactions,staff_on_floor
1,2024-01-01,Monday,morning,659.53,15.8,48,8
2,2024-01-01,Monday,midday,1230.91,14.4,123,6
3,2024-01-01,Monday,afternoon,1108.95,8.4,141,5
4,2024-01-01,Monday,evening,1563.93,8.8,53,6
5,2024-01-01,Monday,night,376.71,9.5,87,7
6,2024-01-02,Tuesday,morning,788.42,15.5,45,6
7,2024-01-02,Tuesday,midday,1238.08,10.7,172,8
8,2024-01-02,Tuesday,afternoon,1066.94,9.6,137,3
9,2024-01-02,Tuesday,evening,1519.31,14.7,76,2
10,2024-01-02,Tuesday,night,513.69,15.0,193,3
11,2024-01-03,Wednesday,morning,689.91,8.8,45,6
12,2024-01-03,Wednesday,midday,1402.42,10.5,166,5
13,2024-01-03,Wednesday,afternoon,1155.25,19.1,122,4
14,2024-01-03,Wednesday,evening,1621.75,11.0,76,7
15,2024-01-03,Wednesday,night,576.16,11.6,156,4
16,2024-01-04,Thursday,morning,767.52,16.8,103,6
17,2024-01-04,Thursday,midday,1439.79,13.0,117,3
18,2024-01-04,Thursday,afternoon,1195.02,19.2,137,2
19,2024-01-04,Thursday,evening,1831.25,14.7,110,4
20,2024-01-04,Thursday,night,592.4,16.3,182,5
21,2024-01-05,Friday,morning,882.59,18.1,99,5
22,2024-01-05,Friday,midday,1637.51,16.4,46,2
23,2024-01-05,Friday,afternoon,1431.87,14.9,144,4
24,2024-01-05,Friday,evening,2091.62,16.6,118,2
25,2024-01-05,Friday,night,789.83,15.3,156,2
26,2024-01-06,Saturday,morning,1052.68,10.6,103,3
27,2024-01-06,Saturday,midday,1884.11,19.0,157,2
28,2024-01-06,Saturday,afternoon,1539.63,10.0,132,6
29,2024-01-06,Saturday,evening,2422.44,13.2,170,4
30,2024-01-06,Saturday,night,852.75,16.5,121,7
31,2024-01-07,Sunday,morning,1070.27,9.8,75,3
32,2024-01-07,Sunday,midday,1476.16,10.8,89,2
33,2024-01-07,Sunday,afternoon,1273.77,11.2,31,3
34,2024-01-07,Sunday,evening,2080.07,13.0,124,6
35,2024-01-07,Sunday,night,509.05,16.3,161,6
36,2024-01-08,Monday,morning,599.88,15.9,43,5
37,2024-01-08,Monday,midday,1302.38,18.5,173,5
38,2024-01-08,Monday,afternoon,937.85,12.8,130,2
39,2024-01-08,Monday,evening,1449.62,10.3,83,5
40,2024-01-08,Monday,night,519.37,9.9,117,6
41,2024-01-09,Tuesday,morning,721.63,9.8,55,4
42,2024-01-09,Tuesday,midday,1260.56,15.4,48,8
43,2024-01-09,Tuesday,afternoon,1100.3,15.6,118,6
44,2024-01-09,Tuesday,evening,1695.03,12.4,61,2
45,2024-01-09,Tuesday,night,686.98,13.6,153,4
46,2024-01-10,Wednesday,morning,554.83,9.0,56,7
47,2024-01-10,Wednesday,midday,1295.51,17.9,71,6
48,2024-01-10,Wednesday,afternoon,1192.41,8.3,165,4
49,2024-01-10,Wednesday,evening,1770.58,8.3,165,4
50,2024-01-10,Wednesday,night,649.74,19.7,53,7
51,2024-01-11,Thursday,morning,854.58,18.9,121,8
52,2024-01-11,Thursday,midday,1320.17,10.7,168,8
53,2024-01-11,Thursday,afternoon,1086.21,15.4,79,8
54,2024-01-11,Thursday,evening,1798.07,10.9,132,7
55,2024-01-11,Thursday,night,617.57,13.9,37,2
56,2024-01-12,Friday,morning,909.54,17.5,150,4
57,2024-01-12,Friday,midday,1717.81,12.1,119,4
58,2024-01-12,Friday,afternoon,1542.29,9.0,56,3
59,2024-01-12,Friday,evening,2088.65,13.8,186,8
60,2024-01-12,Friday,night,733.57,8.0,197,4
61,2024-01-13,Saturday,morning,1090.33,15.9,129,8
62,2024-01-13,Saturday,midday,1857.95,16.5,81,5
63,2024-01-13,Saturday,afternoon,1685.42,15.6,52,8
64,2024-01-13,Saturday,evening,2375.19,19.4,131,5
65,2024-01-13,Saturday,night,652.24,16.7,73,3
66,2024-01-14,Sunday,morning,1032.53,8.3,181,5
67,2024-01-14,Sunday,midday,1625.63,17.9,151,7
68,2024-01-14,Sunday,afternoon,1337.83,19.2,69,6
69,2024-01-14,Sunday,evening,2054.12,17.6,196,2
70,2024-01-14,Sunday,night,685.03,14.3,65,5
71,2024-01-15,Monday,morning,732.48,18.5,37,4
72,2024-01-15,Monday,midday,1185.55,10.6,158,3
73,2024-01-15,Monday,afternoon,1026.1,14.5,63,2
74,2024-01-15,Monday,evening,1459.2,18.9,120,5
75,2024-01-15,Monday,night,433.19,14.2,158,3
76,2024-01-16,Tuesday,morning,594.69,14.4,164,6
77,2024-01-16,Tuesday,midday,1345.57,10.2,31,8
78,2024-01-16,Tuesday,afternoon,1090.1,17.6,74,3
79,2024-01-16,Tuesday,evening,1493.2,14.7,113,7
80,2024-01-16,Tuesday,night,561.32,14.2,172,5
81,2024-01-17,Wednesday,morning,768.1,14.7,93,3
82,2024-01-17,Wednesday,midday,1292.98,11.3,55,6
83,2024-01-17,Wednesday,afternoon,1121.83,18.7,46,5
84,2024-01-17,Wednesday,evening,1715.63,11.9,159,6
85,2024-01-17,Wednesday,night,447.46,13.4,166,8
86,2024-01-18,Thursday,morning,790.62,13.7,93,7
87,2024-01-18,Thursday,midday,1238.28,19.1,173,3
88,2024-01-18,Thursday,afternoon,1176.25,18.1,65,5
89,2024-01-18,Thursday,evening,1862.4,8.9,91,5
90,2024-01-18,Thursday,night,659.8,8.9,107,8
91,2024-01-19,Friday,morning,1059.61,19.3,194,7
92,2024-01-19,Friday,midday,1776.34,12.4,94,3
93,2024-01-19,Friday,afternoon,1495.17,19.4,131,5
94,2024-01-19,Friday,evening,2148.59,10.0,200,8
95,2024-01-19,Friday,night,740.59,19.9,133,4
96,2024-01-20,Saturday,morning,1203.53,13.1,121,4
97,2024-01-20,Saturday,midday,1953.91,12.1,147,5
98,2024-01-20,Saturday,afternoon,1661.81,16.4,128,4
99,2024-01-20,Saturday,evening,2363.45,19.5,58,8
100,2024-01-20,Saturday,night,802.68,10.7,56,2
